# start	end	mode	name  (end = start+size-1, exact)
0x08007F74	0x08007FA1	thumb	LinkTestCalcBlockChecksum
0x08007FA4	0x08007FD7	thumb	PrintHexDigit
0x08007FD8	0x0800802B	thumb	PrintHex
0x0800802C	0x08008057	thumb	LinkCB_RequestPlayerDataExchange
0x08008058	0x08008183	thumb	Task_PrintTestData
0x08008184	0x08008197	thumb	SetLinkDebugValues
0x08008198	0x080081C7	thumb	sub_8008198
0x080081C8	0x0800820B	thumb	sub_80081C8
0x0800820C	0x08008217	thumb	sub_800820C
0x08008218	0x08008223	thumb	sub_8008218
0x08008224	0x0800826B	thumb	sub_8008224
0x0800826C	0x080082EB	thumb	sub_800826C
0x080082EC	0x080082FF	thumb	sub_80082EC
0x08008300	0x0800830F	thumb	GetLinkPlayerCount_2
0x08008310	0x0800831F	thumb	IsLinkMaster
0x08008320	0x0800832B	thumb	GetDummy2
0x0800832C	0x0800834F	thumb	SetCloseLinkCallback
0x08008350	0x0800837B	thumb	sub_8008350
0x0800837C	0x080083DF	thumb	sub_800837C
0x080083E0	0x08008453	thumb	sub_80083E0
0x08008454	0x0800847F	thumb	sub_8008454
0x08008480	0x080084A3	thumb	sub_8008480
0x080084A4	0x080084C7	thumb	sub_80084A4
0x080084C8	0x080084F3	thumb	sub_80084C8
0x080084F4	0x0800854B	thumb	sub_80084F4
0x0800854C	0x080085BB	thumb	CheckErrorStatus
0x080085BC	0x0800864F	thumb	CB2_LinkError
0x08008650	0x080086BB	thumb	CB2_PrintErrorMessage
0x080086BC	0x080086CB	thumb	GetSioMultiSI
0x080086CC	0x080086F3	thumb	IsSioMultiMaster
0x080086F4	0x08008703	thumb	IsLinkConnectionEstablished
0x08008704	0x0800870F	thumb	SetSuppressLinkErrorMessage
0x08008710	0x0800871B	thumb	HasLinkErrorOccurred
0x0800871C	0x0800877B	thumb	DisableSerial
0x0800877C	0x08008837	thumb	EnableSerial
0x08008838	0x08008845	thumb	ResetSerial
0x08008848	0x08008971	thumb	LinkMain1
0x08008974	0x0800899F	thumb	CheckMasterOrSlave
0x080089A0	0x080089EF	thumb	InitTimer
0x080089F0	0x08008AD7	thumb	EnqueueSendCmd
0x08008AD8	0x08008BEB	thumb	DequeueRecvCmds
0x08008BEC	0x08008C5B	thumb	LinkVSync
0x08008C5C	0x08008C69	thumb	Timer3Intr
0x08008C6C	0x08008CF3	thumb	SerialCB
0x08008CF4	0x08008D03	thumb	StartTransfer
0x08008D04	0x08008DFD	thumb	DoHandshake
0x08008E00	0x08008F17	thumb	DoRecv
0x08008F18	0x08008FCB	thumb	DoSend
0x08008FCC	0x08008FFF	thumb	StopTimer
0x08009000	0x0800902F	thumb	SendRecvDone
0x08009030	0x08009083	thumb	ResetSendBuffer
0x08009084	0x080090F3	thumb	ResetRecvBuffer
0x080090F4	0x0800910B	thumb	RtcDisableInterrupts
0x0800910C	0x0800911F	thumb	RtcRestoreInterrupts
0x08009120	0x08009147	thumb	ConvertBcdToBinary
0x08009148	0x0800917F	thumb	IsLeapYear
0x08009180	0x0800920B	thumb	ConvertDateToDayCount
0x0800920C	0x08009245	thumb	RtcGetDayCount
0x08009248	0x080092A7	thumb	RtcInit
0x080092A8	0x080092B3	thumb	RtcGetErrorStatus
0x080092B4	0x080092E3	thumb	RtcGetInfo
0x080092E4	0x080092FB	thumb	RtcGetDateTime
0x080092FC	0x08009313	thumb	RtcGetStatus
0x08009314	0x08009327	thumb	RtcGetRawInfo
0x08009328	0x08009427	thumb	RtcCheckInfo
0x08009428	0x08009439	thumb	RtcReset
0x0800943C	0x08009471	thumb	FormatDecimalTime
0x08009474	0x080094A9	thumb	FormatHexTime
0x080094AC	0x080094C3	thumb	FormatHexRtcTime
0x080094C4	0x080094F9	thumb	FormatDecimalDate
0x080094FC	0x08009531	thumb	FormatHexDate
0x08009534	0x080095B7	thumb	RtcCalcTimeDifference
0x080095B8	0x080095DF	thumb	RtcCalcLocalTime
0x080095E0	0x080095F3	thumb	RtcInitLocalTimeOffset
0x080095F4	0x08009623	thumb	RtcCalcLocalTimeOffset
0x08009624	0x08009689	thumb	CalcTimeDifference
0x0800968C	0x080096C3	thumb	RtcGetMinuteCount
0x080096C4	0x080096D9	thumb	CB2_MainMenu
0x080096DC	0x080096ED	thumb	VBlankCB_MainMenu
0x080096F0	0x080096FB	thumb	CB2_InitMainMenu
0x080096FC	0x08009707	thumb	CB2_InitMainMenuFromOptions
0x08009708	0x08009877	thumb	InitMainMenu
0x08009878	0x08009A1B	thumb	Task_MainMenuCheckSave
0x08009A1C	0x08009A63	thumb	Task_MainMenuWaitForSaveErrorAck
0x08009A64	0x08009B2B	thumb	Task_MainMenuCheckRtc
0x08009B2C	0x08009B73	thumb	Task_MainMenuWaitForRtcErrorAck
0x08009B74	0x08009D3F	thumb	Task_MainMenuDraw
0x08009D40	0x08009D6B	thumb	Task_MainMenuHighlight
0x08009D6C	0x08009E7D	thumb	MainMenuProcessKeyInput
0x08009E80	0x08009EAF	thumb	Task_MainMenuProcessKeyInput
0x08009EB0	0x08009FAF	thumb	Task_MainMenuPressedA
0x08009FB0	0x08009FDB	thumb	Task_MainMenuPressedB
0x08009FDC	0x0800A0BB	thumb	HighlightCurrentMenuItem
0x0800A0BC	0x0800A105	thumb	PrintMainMenuItem
0x0800A108	0x0800A11D	thumb	PrintSaveFileInfo
0x0800A120	0x0800A143	thumb	PrintPlayerName
